[241/10000] loss=0.2968017094369428 loss_test=0.3580446300670857 acc=0.8704
[242/10000] loss=0.29678094623137863 loss_test=0.3580275285894999 acc=0.8704
[243/10000] loss=0.2967602475788384 loss_test=0.3580104765596033 acc=0.8704
[244/10000] loss=0.2967395821449702 loss_test=0.3579934607837106 acc=0.8704
[245/10000] loss=0.29671897749587417 loss_test=0.3579764797281145 acc=0.8703
[246/10000] loss=0.2966983965107045 loss_test=0.35795954766903587 acc=0.8703
[247/10000] loss=0.29667786785061306 loss_test=0.3579426771078195 acc=0.8702
[248/10000] loss=0.2966573908782193 loss_test=0.35792583453252497 acc=0.8701
[249/10000] loss=0.2966369222236218 loss_test=0.3579089991390213 acc=0.8702
[250/10000] loss=0.2966164894020182 loss_test=0.35789220309230796 acc=0.8702
[251/10000] loss=0.29659611716061823 loss_test=0.35787545889814065 acc=0.8702
[252/10000] loss=0.2965757698324227 loss_test=0.35785876142502726 acc=0.8702
[253/10000] loss=0.2965554883843695 loss_test=0.35784211193189996 acc=0.8702
[254/10000] loss=0.2965352404197176 loss_test=0.35782548130940134 acc=0.8702
[255/10000] loss=0.2965150596994872 loss_test=0.3578088885409897 acc=0.8701
[256/10000] loss=0.29649490014500157 loss_test=0.3577923094743866 acc=0.8701
[257/10000] loss=0.29647481802188264 loss_test=0.3577757740201705 acc=0.8702
[258/10000] loss=0.29645475626537343 loss_test=0.35775927519667095 acc=0.8702
[259/10000] loss=0.29643476144405656 loss_test=0.3577428036448766 acc=0.8702
[260/10000] loss=0.2964148043290721 loss_test=0.3577263682504097 acc=0.8702
[261/10000] loss=0.29639491554385433 loss_test=0.35770996670281685 acc=0.8703
[262/10000] loss=0.29637504985512264 loss_test=0.35769356991498175 acc=0.8703
[263/10000] loss=0.29635521398777964 loss_test=0.35767722987243783 acc=0.8703
[264/10000] loss=0.2963354276644172 loss_test=0.35766093601566545 acc=0.8703
[265/10000] loss=0.2963156896473387 loss_test=0.357644674477253 acc=0.8704
[266/10000] loss=0.2962959925017442 loss_test=0.357628464476597 acc=0.8704
[267/10000] loss=0.29627633987396074 loss_test=0.35761230706159775 acc=0.8704
[268/10000] loss=0.2962567146127261 loss_test=0.3575961808911794 acc=0.8704
[269/10000] loss=0.2962371331108004 loss_test=0.3575801040945463 acc=0.8704
[270/10000] loss=0.29621759072609777 loss_test=0.3575640640493817 acc=0.8704
[271/10000] loss=0.2961981078970398 loss_test=0.3575480650645555 acc=0.8704
[272/10000] loss=0.29617862491476404 loss_test=0.35753210839166394 acc=0.8704
[273/10000] loss=0.296159205901278 loss_test=0.3575161793986681 acc=0.8704
[274/10000] loss=0.296139821299794 loss_test=0.3575002509787434 acc=0.8704
[275/10000] loss=0.29612045199066656 loss_test=0.3574843716347119 acc=0.8704
[276/10000] loss=0.2961011617411997 loss_test=0.35746850706810995 acc=0.8703
[277/10000] loss=0.2960818757289175 loss_test=0.35745267473845277 acc=0.8703
[278/10000] loss=0.29606259905242954 loss_test=0.3574368938278545 acc=0.8703
[279/10000] loss=0.2960433936005968 loss_test=0.3574211476468685 acc=0.8703
[280/10000] loss=0.2960242262366641 loss_test=0.3574054424795974 acc=0.8703
[281/10000] loss=0.29600509283048143 loss_test=0.35738978275280786 acc=0.8702
[282/10000] loss=0.29598600767940514 loss_test=0.35737416743840406 acc=0.8702
[283/10000] loss=0.2959669541318163 loss_test=0.35735856600580446 acc=0.8702
[284/10000] loss=0.2959479507447263 loss_test=0.3573429922075813 acc=0.8702
[285/10000] loss=0.2959289726710577 loss_test=0.3573274465578541 acc=0.8702
[286/10000] loss=0.2959100238447834 loss_test=0.3573119244764073 acc=0.8702
[287/10000] loss=0.29589113295922354 loss_test=0.35729644209060113 acc=0.8701
[288/10000] loss=0.2958722278204465 loss_test=0.3572809885746614 acc=0.8701
[289/10000] loss=0.29585339497781266 loss_test=0.3572655653461204 acc=0.8701
[290/10000] loss=0.2958345806743287 loss_test=0.3572501953159793 acc=0.8701
[291/10000] loss=0.2958158217446639 loss_test=0.35723485356875134 acc=0.8701
[292/10000] loss=0.295797079350115 loss_test=0.3572195351210995 acc=0.8701
[293/10000] loss=0.29577837668070295 loss_test=0.35720423522915334 acc=0.8701
[294/10000] loss=0.29575971831741776 loss_test=0.35718898268208404 acc=0.8701
[295/10000] loss=0.29574109578122987 loss_test=0.3571737429327599 acc=0.8701
[296/10000] loss=0.2957225006041996 loss_test=0.3571585474765779 acc=0.8701
[297/10000] loss=0.2957039168227466 loss_test=0.3571433922906302 acc=0.8702
[298/10000] loss=0.29568540254607395 loss_test=0.35712824713799457 acc=0.8702
[299/10000] loss=0.2956668994209205 loss_test=0.3571131159217998 acc=0.8702
[300/10000] loss=0.2956484248870128 loss_test=0.35709802624145826 acc=0.8702
[301/10000] loss=0.2956299986211126 loss_test=0.3570829612402415 acc=0.8702
[302/10000] loss=0.29561160795773095 loss_test=0.3570679054554862 acc=0.8702
[303/10000] loss=0.2955932391364026 loss_test=0.35705288426380094 acc=0.8702
[304/10000] loss=0.2955748928147075 loss_test=0.35703788492029714 acc=0.8702
[305/10000] loss=0.29555656738001873 loss_test=0.3570229159291815 acc=0.8702
[306/10000] loss=0.2955382956797747 loss_test=0.3570079823131231 acc=0.8702
[307/10000] loss=0.2955200620522029 loss_test=0.3569931004746479 acc=0.8702
[308/10000] loss=0.29550182171329226 loss_test=0.3569782547652834 acc=0.8702
[309/10000] loss=0.2954836422979399 loss_test=0.3569634509922971 acc=0.8702
[310/10000] loss=0.29546546950440383 loss_test=0.3569486680288548 acc=0.8703
[311/10000] loss=0.2954473275298712 loss_test=0.3569339187526211 acc=0.8703
[312/10000] loss=0.2954291982070479 loss_test=0.356919180462356 acc=0.8703
[313/10000] loss=0.29541113375347494 loss_test=0.35690446347556465 acc=0.8703
[314/10000] loss=0.2953931194444138 loss_test=0.35688976791836297 acc=0.8703
[315/10000] loss=0.2953751319975898 loss_test=0.35687508499711235 acc=0.8703
[316/10000] loss=0.2953571696574258 loss_test=0.3568604295580367 acc=0.8703
[317/10000] loss=0.2953392382493389 loss_test=0.3568457861652647 acc=0.8704
[318/10000] loss=0.2953213567561854 loss_test=0.35683115779031693 acc=0.8704
[319/10000] loss=0.29530348788239336 loss_test=0.35681655560504266 acc=0.8704
[320/10000] loss=0.2952856427872254 loss_test=0.35680198269857194 acc=0.8704
[321/10000] loss=0.2952678313127663 loss_test=0.35678744640319154 acc=0.8704
[322/10000] loss=0.29525003345975037 loss_test=0.356772931604961 acc=0.8704
